Price,SMA20,SMA50,RSI,MACD,MACD_Signal
Ticker,,,,,
Date,,,,,
2023-06-02,172.58075180053712,166.52754974365234,72.95143798430459,3.0943738422103593,2.6956959837092063
2023-06-05,172.89014129638673,166.94080291748048,67.81957996127443,3.15014206541494,2.7865852000503533
2023-06-06,173.18467712402344,167.32062774658203,66.45991288975026,3.1287153514350052,2.8550112303272837
2023-06-07,173.49592361450195,167.71188232421875,61.47329059164533,2.9664867419481027,2.8773063326514476
2023-06-08,173.85481719970704,168.17005004882813,66.78329840915144,3.022776476004424,2.906400361322043
2023-06-09,174.223624420166,168.57424438476562,67.46812833362988,3.0632348459645584,2.9377672582505463
2023-06-12,174.7790626525879,169.00303649902344,71.98195260144983,3.283539777053477,3.0069217620111326
2023-06-13,175.33549118041992,169.3720965576172,70.20269110451112,3.380812398436092,3.0816998892961247
2023-06-14,175.92360305786133,169.72871643066406,71.22402926899383,3.4690442989139285,3.1591687712196856
2023-06-15,176.58300170898437,170.13680541992187,74.27986736401658,3.661340229976446,3.259603062971038
2023-06-16,177.0716094970703,170.5602899169922,70.04149974914372,3.6841852809614295,3.3445195065691165
2023-06-20,177.55922622680663,170.9677584838867,70.19268867582615,3.6672049692586484,3.409056599107023
2023-06-21,178.04238891601562,171.4064419555664,66.00631482422102,3.5291814515481406,3.4330815695952466
2023-06-22,178.80673522949218,171.9296453857422,71.33661943841832,3.620927342716186,3.4706507242194347
2023-06-23,179.5413787841797,172.46035369873047,70.09071662707957,3.626269430493153,3.5017744654741785
2023-06-26,180.14929275512696,172.85517456054689,64.72666819824795,3.4777683073926084,3.4969732338578647
2023-06-27,180.77453231811523,173.31216339111327,69.67255245866659,3.5421453238071763,3.5060076518477272
2023-06-28,181.3661102294922,173.79231994628907,71.50764044264687,3.64620488320233,3.534047098118648
2023-06-29,181.97699279785155,174.25468872070311,72.0284109401607,3.713034043815071,3.569844487257933
2023-06-30,182.66411514282225,174.7808511352539,77.68654179338517,4.069018387334353,3.6696792672732172
2023-07-03,183.23391036987306,175.2964923095703,72.2597712593284,4.182290398442433,3.772201493507061
2023-07-05,183.81558685302736,175.82198944091797,68.40865372884655,4.13412666801824,3.8445865284092973
2023-07-06,184.43934020996093,176.35086151123048,69.16052215191858,4.087189480129695,3.8931071187533766
2023-07-07,185.0759651184082,176.88820526123047,65.22481187373916,3.9145870586997944,3.89740310674266
2023-07-10,185.47397994995117,177.38475799560547,58.641619396961865,3.5712561585175706,3.8321737170976427
2023-07-11,185.82644958496093,177.77886444091797,57.05379015960843,3.2197062572405173,3.7096802251262178
2023-07-12,186.12248611450195,178.18132263183594,60.707270900758786,3.0410633270820426,3.575956845517383
2023-07-13,186.48040390014648,178.60080780029296,62.28169962662012,2.927261154660755,3.446217707346057
2023-07-14,186.81406326293944,179.04402618408204,62.59608773939287,2.816586843976637,3.3202915346721733
2023-07-17,187.2091079711914,179.57414428710936,68.76496296711888,2.958416721498537,3.2479165720374463
2023-07-18,187.64524154663087,180.13193969726564,67.81599083683392,3.015288253780483,3.201390908386054
2023-07-19,188.1447425842285,180.56301879882812,70.15336657294722,3.1336887092400616,3.1878504685568556
2023-07-20,188.59869842529298,180.9564730834961,63.06122584013009,3.035148000507121,3.157309974946909
2023-07-21,188.8432502746582,181.36057220458986,59.1698592266369,2.8293658886022968,3.091721157677987
2023-07-24,189.14374313354492,181.74531524658204,60.93683908563276,2.6998732478990917,3.013351575722208
2023-07-25,189.5571029663086,182.14352752685548,62.798926385731505,2.636362266591732,2.9379537138961127
2023-07-26,189.87591094970702,182.57777954101562,64.63535520869236,2.6260637203619126,2.8755757151892727
2023-07-27,190.07244262695312,182.99658630371093,59.996098661843575,2.4869717562278595,2.7978549233969905
2023-07-28,190.38134994506837,183.46707580566405,65.44277392797305,2.5557969921229073,2.749443337142174
2023-07-31,190.5041191101074,183.9375650024414,66.60587348387074,2.6295605470004375,2.7254667791138267
2023-08-01,190.66005783081056,184.34468872070312,63.488083327391365,2.591043571375536,2.698582137566169
2023-08-02,190.7219383239746,184.6896353149414,53.719622492087154,2.2920263040135467,2.617270970855645
2023-08-03,190.69025497436525,185.02567077636718,49.873917998349064,1.9202683948856532,2.477870455661647
2023-08-04,190.26006393432618,185.23220306396485,33.20652979381377,0.8820753163603854,2.1587114278013946
2023-08-07,189.7769027709961,185.37101348876953,29.56678632828134,-0.18937710169885236,1.6890937219013453
2023-08-08,189.36700668334962,185.50586303710938,31.99535547901897,-0.9516462109317843,1.1609457353347195
2023-08-09,188.79374618530272,185.56051574707033,30.101043358419858,-1.6651792896354891,0.5957207303406777
